i94port,i94port_name,i94port_state,i94port_relevant
SGF,SPRINGFIELD-BRANSON,MO,RELEVANT
STL,ST LOUIS,MO,RELEVANT
WHI,WHITETAIL,MT,RELEVANT
WHM,WILD HORSE,MT,RELEVANT
GPT,BILOXI REGIONAL,MS,RELEVANT
GTR,GOLDEN TRIANGLE LOWNDES CNTY,MS,RELEVANT
GUL,GULFPORT,MS,RELEVANT
PAS,PASCAGOULA,MS,RELEVANT
JAN,THOMPSON FIELD - JACKSON,MS,RELEVANT
BIL,BILLINGS,MT,RELEVANT
BTM,BUTTE,MT,RELEVANT
CHF,CHIEF MT,MT,RELEVANT
CTB,CUT BANK MUNICIPAL,MT,RELEVANT
CUT,CUT BANK,MT,RELEVANT
DLB,DEL BONITA,MT,RELEVANT
EUR,EUREKA,MT,RELEVANT
BZN,GALLATIN FIELD - BOZEMAN,MT,RELEVANT
FCA,GLACIER NATIONAL PARK,MT,RELEVANT
GGW,GLASGOW,MT,RELEVANT
GRE,GREAT FALLS,MT,RELEVANT
HVR,HAVRE,MT,RELEVANT
HEL,HELENA,MT,RELEVANT
LWT,LEWISTON,MT,RELEVANT
MGM,MORGAN,MT,RELEVANT
OPH,OPHEIM,MT,RELEVANT
PIE,PIEGAN,MT,RELEVANT
RAY,RAYMOND,MT,RELEVANT
ROO,ROOSVILLE,MT,RELEVANT
SCO,SCOBEY,MT,RELEVANT
SWE,SWEETGTASS,MT,RELEVANT
TRL,TRIAL CREEK,MT,RELEVANT
TUR,TURNER,MT,RELEVANT
WCM,WILLOW CREEK,MT,RELEVANT
CLT,CHARLOTTE,NC,RELEVANT
FAY,FAYETTEVILLE,NC,RELEVANT
MRH,MOREHEAD CITY,NC,RELEVANT
FOP,MORRIS FIELDS AAF,NC,RELEVANT
GSO,PIEDMONT TRIAD INTL AIRPORT,NC,RELEVANT
RDU,RALEIGH/DURHAM,NC,RELEVANT
SSC,SHAW AFB - SUMTER,NC,RELEVANT
WIL,WILMINGTON,NC,RELEVANT
AMB,AMBROSE,ND,RELEVANT
ANT,ANTLER,ND,RELEVANT
CRY,CARBURY,ND,RELEVANT
DNS,DUNSEITH,ND,RELEVANT
FAR,FARGO,ND,RELEVANT
FRT,FORTUNA,ND,RELEVANT
GRF,GRAND FORKS,ND,RELEVANT
HNN,HANNAH,ND,RELEVANT
HNS,HANSBORO,ND,RELEVANT
MAI,MAIDA,ND,RELEVANT
MND,MINOT,ND,RELEVANT
NEC,NECHE,ND,RELEVANT
NOO,NOONAN,ND,RELEVANT
NRG,NORTHGATE,ND,RELEVANT
PEM,PEMBINA,ND,RELEVANT
SAR,SARLES,ND,RELEVANT
SHR,SHERWOOD,ND,RELEVANT
SJO,ST JOHN,ND,RELEVANT
WAL,WALHALLA,ND,RELEVANT
WHO,WESTHOPE,ND,RELEVANT
WND,WILLISTON,ND,RELEVANT
OMA,OMAHA,NE,RELEVANT
LEB,LEBANON,NH,RELEVANT
MHT,MANCHESTER,NH,RELEVANT
PNH,PITTSBURG,NH,RELEVANT
PSM,PORTSMOUTH,NH,RELEVANT
BYO,BAYONNE,NJ,RELEVANT
CNJ,CAMDEN,NJ,RELEVANT
HOB,HOBOKEN,NJ,RELEVANT
JER,JERSEY CITY,NJ,RELEVANT
WRI,MC GUIRE AFB - WRIGHTSOWN,NJ,RELEVANT
MMU,MORRISTOWN,NJ,RELEVANT
NEW,NEWARK/TETERBORO,NJ,RELEVANT
PER,PERTH AMBOY,NJ,RELEVANT
ACY,POMONA FIELD - ATLANTIC CITY,NJ,RELEVANT
ALA,ALAMAGORDO,NM,RELEVANT
ABQ,ALBUQUERQUE,NM,RELEVANT
ANP,ANTELOPE WELLS,NM,RELEVANT
CRL,CARLSBAD,NM,RELEVANT
